Building,Assignment,Seller,OEM,Description,Procurement Status,Quantity Required,Quantity Ordered,Net Short Quantity,Extended Amount,Extended Amount Outstanding,Unit Price,L2 Labor Hours,L3 Labor Hours,L4 Labor Hours,L5 Labor Hours,L6 Labor Hours
E,DTO-E,SVL,CONDAIR,CONDAIR-RS-030-HUMIDIFIER,PO Issued,3,3,0,"$34,200 ",$0 ,"$11,400.00 ",,,,,
E,DTO-E,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,2,2,0,"$145,600 ",$0 ,"$72,800.00 ",,,,,
E,DTO-E,MCG,CUMMINS,CUMMINS-70A-ATS,PO Issued,8,8,0,"$94,811 ",$0 ,"$11,851.38 ",,,,,
E,DTO-E,T5,CAT,CAT-1.25MW-GENERATOR,PO Issued,4,4,0,"$3,310,730 ",$0 ,"$827,682.44 ",,,,,
E,DTO-E,TEXAS AIR SYSTEMS,FISEN,FISEN-YVFA0459-CHILLED WATER PUMP SKID,PO Issued,9,9,0,"$724,122 ",$0 ,"$80,458.00 ",,,,,
E,DTO-E,TEXAS AIR SYSTEMS,WENDLAND,WENDLAND-15000 GAL HORIZONTAL-THERMAL STORAGE TANK,PO Issued,2,2,0,"$815,898 ",$0 ,"$407,949.00 ",,,,,
E-MMR,DTO-E-MMR,SVL,DADEX,DADEX-60KW-CRAH,PO Issued,4,4,0,"$291,200 ",$0 ,"$72,800.00 ",,,,,
F,DTO-F,CERIO,DELTA,DELTA-1250KVA-UPS,PO Issued,42,42,0,"$14,822,260 ",$0 ,"$352,910.96 ",,,,,
F,DTO-F,CERIO,DELTA,DELTA-250KVA-UPS,PO Issued,30,30,0,"$3,570,304 ",$0 ,"$119,010.13 ",,,,,
F,DTO-F,CERIO,DELTA,DELTA-400A-BUSWAY,PO Issued,2,2,0,"$153,200 ",$0 ,"$76,600.24 ",,,,,
F,DTO-F,CERIO,DELTA,DELTA-600A-BUSWAY,PO Issued,16,16,0,"$1,225,604 ",$0 ,"$76,600.24 ",,,,,
F,DTO-F,CERIO,DELTA,DELTA-800A-BUSWAY,PO Issued,72,72,0,"$5,515,217 ",$0 ,"$76,600.24 ",,,,,
F,DTO-F,EAE,EAE,EAE-4000A-RESERVE BUSDUCT,PO Issued,1095,1095,0,"$1,020,540 ",$0 ,$932.00 ,,,,,
F,DTO-F,EAE,EAE,EAE-800A-RESERVE BUSDUCT TAP BOX,PO Issued,72,72,0,INCLUDED IN RBUS,INCLUDED IN RBUS,INCLUDED IN RBUS,,,,,
